name2,start,end,chr
LOC100507507,0,143380782,7
MGAM,410,142106747,7
AGK,475,141652924,7
ZYX,935,143390682,7
DTX2,1309,76505601,7
MIR6892,2164,143382800,7
CNTNAP2,2404,148415616,7
PRKAR2B,2503,107159582,7
OR2A5,4975,144051337,7
LOC102723872,6399,16154,7
UPK3B,9739,76515204,7
EPHA1,10820,143408865,7
HBP1,14534,107202523,7
LOC105375548,18814,144085330,7
SPDYE16,20593,76540386,7
DPP6,23860,154892480,7
LOC105375112,23894,37939,7
OR2A25,28796,144075152,7
LOC107986751,28911,36589,7
KIAA1147,29247,141702188,7
LOC112268371,29783,29783,7
LOC105375113,31915,75816,7
LOC101929756,39475,83376,7
COG5,49037,107563989,7
OR2A12,49673,144096040,7
SMURF1,51354,99143780,7
LOC105375434,57964,103214712,7
LOC107986864,58094,58094,7
TAS2R60,62816,143444409,7
OR2A2,64142,144110539,7
DPY19L2P2,67085,103280466,7
LOC105375114,77385,121464,7
MGAM2,78753,142222059,7
KPNA7,81336,99210272,7
WEE2,81358,141730320,7
OR2A14,83670,144130045,7
POMZP3,97047,76626064,7
TAS2R41,97236,143478796,7
RPL19P12,103468,103142403,7
LOC102723672,105238,149438,7
WEE2-AS1,110830,141738230,7
LOC100507642,111270,155465,7
SSBP1,111766,141750488,7
LOC100133091,114817,76627982,7
"NAPEPLD",115952,103149481,7
LOC105375547,116136,143496772,7
OR10AC1,130296,143512011,7
LOC112267989,132824,154555175,7
LOC105375115,135417,176013,7
LOC105375116,136975,179215,7
CTAGE4,138068,144185837,7
ARHGEF35,141493,144188383,7
EPHA1-AS1,142813,143523449,7
ARMC10,146175,103098553,7
LOC112267987,152133,144197570,7
FAM20C,152603,260745,7
LOC105375356,162452,76728550,7
LOC105379583,168410,168410,7
OR2A42,186504,144232843,7
CTAGE15,191181,143574151,7
OR2A20P,206197,144251603,7
MOXD2P,208966,142247067,7
OR2A7,213289,144259628,7
PRSS58,214120,142257707,7
CTAGE8,221510,144269250,7
TRY2P,234148,142272249,7
ARHGEF34P,240597,144286003,7
TCAF2,247280,143727667,7
LOC101928605,254193,144299589,7
OR2A9P,255109,144300505,7
LOC107986752,262808,264104,7
LOC112268379,268726,268726,7
OR2A1,272735,144319057,7
WI2-2373I1.2,294422,294422,7
LOC105375539,297371,142336682,7
CTAGE6,299645,143757658,7
LOC112268381,315304,337362,7
GPR22,319708,107475362,7
LOC105375118,333176,333268,7
LOC112268382,335515,335515,7
LOC107987545,342565,343498,7
LOC112268383,352149,352149,7
TCAF2P1,359691,143815389,7
LOC112268384,369355,370288,7
LOC154761,381021,143836717,7
LOC442497,382879,382879,7
LOC112267988,389772,143860200,7
TCAF1,398434,143876608,7
LOC112268385,404820,404820,7
LOC112267883,404913,405285,7
ARHGEF5,412141,144380056,7
DUS4L,412725,107578523,7
BCAP29,426427,107623317,7
LOC112267991,429669,430377,7
LOC105375549,443269,143899037,7
NOBOX,446706,144410227,7
LOC107986855,446879,142463380,7
OR2F2,479461,143936186,7
LOC105379749,483841,142541051,7
PDGFA,498563,520468,7
TPK1,503001,144836054,7
OR2F1,504200,143988540,7
HRAT92,525232,525232,7
LOC112268380,532770,532770,7
OR6B1,548226,144004932,7
PRKAR1B,550429,711505,7
LOC101927000,565619,565619,7
LOC101926963,608502,608502,7
LOC105375119,614574,614574,7
MTRNR2L6,669783,142667305,7
DNAAF5,726720,786479,7
PRSS1,752081,142753020,7
PRSS3P2,777146,777146,7
PRSS2,793955,142774564,7
SUN1,817456,873331,7
LOC107986754,847185,848321,7
GET4,876645,895422,7
EPHB6,886270,142871093,7
TRPV6,894747,142885636,7
ADAP1,898920,955407,7
TRPV5,931580,142933459,7
LOC105375542,960017,142936950,7
LOC105375543,962116,142939092,7
LLCFC1,962613,142940587,7
KEL,964318,142962206,7
COX19,969377,975509,7
C7orf50,978947,1138315,7
CYP2W1,983211,989461,7
MIR339,1023026,1023026,7
OR9A2,1049266,143027132,7
GPR146,1056799,1058517,7
LOC105375544,1063999,143040932,7
LOC107986755,1065076,1066060,7
OR6V1,1075407,143053282,7
LOC105375120,1083409,1083409,7
OR6W1P,1086852,143063785,7
GPER1,1091728,1092856,7
LOC102723758,1130573,1130578,7
ZFAND2A,1152235,1158212,7
LOC101927021,1165958,1165958,7
UNCX,1233017,1236977,7
MICALL2,1434098,1459497,7
LOC107986756,1464482,1464482,7
INTS1,1470576,1504382,7
LOC100128653,1534880,1534880,7
MAFK,1539192,1540375,7
TMEM184A,1545375,1560821,7
PSMG3,1567697,1569339,7
PSMG3-AS1,1589626,1589626,7
LOC105375122,1596905,1598732,7
